fileName;Grupos;ShortName;Colors
GSM1134016.CEL;XX;01_XX;blue
GSM1134017.CEL;XX;02_XX;blue
GSM1134018.CEL;XX;03_XX;blue
GSM1134019.CEL;XX;04_XX;blue
GSM1134020.CEL;XX;05_XX;blue
GSM1134021.CEL;XX;06_XX;blue
GSM1134022.CEL;XX;07_XX;blue
GSM1134023.CEL;XX;08_XX;blue
GSM1134024.CEL;XX;09_XX;blue
GSM1134025.CEL;XX;10_XX;blue
GSM1134026.CEL;XO;11_XO;red
GSM1134028.CEL;XO;13_XO;red
GSM1134029.CEL;XO;14_XO;red
GSM1134030.CEL;XO;15_XO;red
GSM1134031.CEL;XO;16_XO;red
GSM1134032.CEL;XO;17_XO;red
GSM1134033.CEL;XO;18_XO;red
GSM1134034.CEL;XO;19_XO;red
GSM1134035.CEL;XO;20_XO;red
GSM1134036.CEL;XO;21_XO;red
GSM1134037.CEL;XO;22_XO;red
GSM1134038.CEL;XO;23_XO;red
GSM1134039.CEL;XO;24_XO;red
GSM1134040.CEL;XO;25_XO;red
GSM1134041.CEL;XO;26_XO;red
GSM1134042.CEL;XO;27_XO;red
GSM1134043.CEL;XO;28_XO;red
GSM1134044.CEL;XO;29_XO;red
GSM1134045.CEL;XO;30_XO;red
GSM1134046.CEL;XO;31_XO;red
GSM1134047.CEL;XO;32_XO;red
GSM1134048.CEL;XO;33_XO;red
GSM1134049.CEL;XO;34_XO;red
GSM1134050.CEL;XO;35_XO;red
GSM1134051.CEL;XO;36_XO;red
